,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,teya,80,ru,2018-04-02 22:58:03,75,60.37,92.63,20.38,5.64
1,vaini,88,to,2018-04-02 22:57:55,100,-21.2,-175.2,79.87,27.11
2,albany,0,au,2018-04-02 22:58:04,59,-35.02,117.88,81.31,9.89
3,barrow,90,us,2018-04-02 22:35:00,93,39.51,-90.4,39.2,8.05
4,faanui,44,pf,2018-04-02 22:57:56,100,-16.48,-151.75,82.39,11.79
5,arraial do cabo,24,br,2018-04-02 22:57:56,92,-22.97,-42.02,76.36,2.51
6,punta arenas,0,cl,2018-04-02 22:00:00,80,-53.16,-70.91,41.0,21.92
7,xingyi,0,cn,2018-04-02 22:58:05,49,24.19,102.82,73.39,4.18
8,esperance,0,au,2018-04-02 22:58:06,58,-33.86,121.89,79.24,11.45
9,zheleznodorozhnyy,90,ru,2018-04-02 22:00:00,96,55.75,38.0,35.6,6.71
10,kambove,24,cd,2018-04-02 22:58:06,94,-10.88,26.6,61.96,4.74
11,new norfolk,40,au,2018-04-02 22:30:00,37,-42.78,147.06,71.6,19.46
12,busselton,0,au,2018-04-02 22:57:58,82,-33.64,115.35,75.1,11.79
13,jamestown,88,sh,2018-04-02 22:57:58,100,-15.94,-5.72,74.29,15.7
14,mar del plata,92,ar,2018-04-02 22:57:58,53,-46.43,-67.52,67.63,21.74
15,mondlo,24,za,2018-04-02 22:58:07,91,-27.96,30.72,53.23,2.62
16,nouadhibou,0,mr,2018-04-02 22:00:00,88,20.93,-17.03,64.4,16.11
17,yellowknife,20,ca,2018-04-02 22:00:00,49,62.45,-114.38,3.2,6.93
18,ostrovnoy,92,ru,2018-04-02 22:57:59,94,68.05,39.51,25.69,19.51
19,tigil,0,ru,2018-04-02 22:58:00,96,57.8,158.67,33.34,6.64
20,bandarbeyla,68,so,2018-04-02 22:58:00,100,9.49,50.81,80.23,6.2
21,bluff,44,nz,2018-04-02 22:58:00,93,-46.6,168.33,59.44,31.81
22,beringovskiy,0,ru,2018-04-02 22:58:00,98,63.05,179.32,31.36,6.87
23,aasiaat,64,gl,2018-04-02 22:58:09,90,68.71,-52.87,19.57,1.72
24,chokurdakh,8,ru,2018-04-02 22:58:09,92,70.62,147.9,23.53,13.47
25,pingliang,0,cn,2018-04-02 22:58:01,42,35.54,106.68,59.53,12.01
26,henties bay,92,na,2018-04-02 22:58:01,92,-22.12,14.28,68.98,10.67
27,cape town,0,za,2018-04-02 22:00:00,77,-33.93,18.42,64.4,14.99
28,stokmarknes,0,no,2018-04-02 22:20:00,79,68.56,14.91,23.0,5.82
29,bo,48,no,2018-04-02 22:58:10,74,59.41,9.07,12.91,2.06
30,narsaq,20,gl,2018-04-02 21:50:00,30,60.91,-46.05,41.0,8.05
31,kabo,8,cf,2018-04-02 22:58:03,75,7.69,18.62,75.64,10.33
32,zhigansk,88,ru,2018-04-02 22:58:03,64,66.77,123.37,13.54,8.77
33,port alfred,80,za,2018-04-02 22:58:03,94,-33.59,26.89,70.42,13.47
34,cockburn town,24,bs,2018-04-02 22:58:03,100,24.03,-74.52,74.65,16.37
35,kaeo,8,nz,2018-04-02 22:58:04,48,-35.1,173.78,75.37,2.51
36,olinda,75,br,2018-04-02 22:00:00,83,-22.82,-43.41,77.0,5.82
37,sovetskaya,80,ru,2018-04-02 22:58:05,86,44.78,41.17,44.32,20.51
38,mehamn,75,no,2018-04-02 22:20:00,63,71.03,27.85,30.2,16.11
39,souillac,75,mu,2018-04-02 22:00:00,88,-20.52,57.52,80.6,14.99
40,ancud,92,cl,2018-04-02 22:58:06,96,-41.87,-73.83,55.84,4.97
41,hermanus,68,za,2018-04-02 22:58:06,98,-34.42,19.24,60.97,5.08
42,ushuaia,75,ar,2018-04-02 22:00:00,86,-54.81,-68.31,41.0,16.11
43,east london,76,za,2018-04-02 22:58:06,100,-33.02,27.91,73.66,12.46
44,qujing,8,cn,2018-04-02 22:58:06,45,25.49,103.8,70.87,8.43
45,port elizabeth,40,za,2018-04-02 22:21:00,94,-33.92,25.57,68.0,12.75
46,norman wells,75,ca,2018-04-02 22:00:00,55,65.28,-126.83,8.6,9.17
47,ocos,20,gt,2018-04-02 22:00:00,83,14.51,-92.19,78.8,3.4
48,safford,1,us,2018-04-02 21:51:00,7,32.83,-109.71,77.0,13.87
49,georgetown,88,sh,2018-04-02 22:58:08,100,-7.93,-14.42,78.79,11.45
50,cherskiy,0,ru,2018-04-02 22:58:08,77,68.75,161.3,34.33,6.76
51,ondangwa,92,na,2018-04-02 22:58:09,96,-17.91,15.98,63.67,3.06
52,salalah,75,om,2018-04-02 21:50:00,83,17.01,54.1,78.8,5.82
53,hithadhoo,92,mv,2018-04-02 22:58:09,100,-0.6,73.08,84.01,5.75
54,kapaa,90,us,2018-04-02 21:56:00,74,22.08,-159.32,78.8,17.22
55,saint-augustin,75,ca,2018-04-02 22:00:00,75,45.63,-73.98,35.6,5.82
56,saint-philippe,0,re,2018-04-02 22:30:00,69,-21.36,55.77,77.0,5.82
57,touros,88,br,2018-04-02 22:58:19,90,-5.2,-35.46,79.96,7.76
58,nikolskoye,90,ru,2018-04-02 22:30:00,99,59.7,30.79,32.0,8.95
59,kamenka,80,ru,2018-04-02 22:58:11,93,53.19,44.05,34.24,16.71
60,qaanaaq,0,gl,2018-04-02 22:58:11,82,77.48,-69.36,-5.36,8.66
61,taltal,0,cl,2018-04-02 22:58:11,97,-25.41,-70.49,53.41,1.16
62,amahai,36,id,2018-04-02 22:58:11,100,-3.31,129.0,83.02,5.53
63,manggar,24,id,2018-04-02 22:58:20,95,-2.88,108.27,84.91,4.52
64,grafton,1,us,2018-04-02 22:55:00,61,48.41,-97.41,17.6,18.34
65,xapuri,68,br,2018-04-02 22:58:12,89,-10.65,-68.5,77.26,0.94
66,port macquarie,40,au,2018-04-02 22:00:00,88,-31.43,152.91,73.4,1.12
67,nishihara,40,jp,2018-04-02 22:00:00,56,35.74,139.53,68.0,5.82
68,wuzhou,20,cn,2018-04-02 22:58:13,74,23.48,111.3,81.04,3.62
69,gavle,32,se,2018-04-02 22:58:13,93,60.67,17.14,26.59,7.09
70,khatanga,48,ru,2018-04-02 22:58:14,87,71.98,102.47,-6.17,4.63
71,flin flon,32,ca,2018-04-02 22:58:22,69,54.77,-101.88,4.27,2.84
72,carnarvon,0,au,2018-04-02 22:58:23,74,-24.87,113.63,85.9,3.96
73,calvinia,56,za,2018-04-02 22:58:15,82,-31.47,19.78,53.23,2.95
74,lavrentiya,0,ru,2018-04-02 22:58:15,100,65.58,-170.99,29.92,2.06
75,rikitea,0,pf,2018-04-02 22:58:15,100,-23.12,-134.97,78.97,4.74
76,san cristobal,88,ec,2018-04-02 22:58:15,100,-1.02,-79.44,60.88,0.94
77,tignere,0,cm,2018-04-02 22:58:16,95,7.37,12.65,61.42,5.19
78,bodmin,90,gb,2018-04-02 21:50:00,100,50.47,-4.72,50.0,16.11
79,bambanglipuro,24,id,2018-04-02 22:58:16,84,-7.95,110.28,84.46,4.29
80,provideniya,90,ru,2018-04-02 22:30:00,100,64.42,-173.23,30.2,2.24
81,kaitangata,8,nz,2018-04-02 22:58:25,59,-46.28,169.85,60.88,26.33
82,la ronge,20,ca,2018-04-02 22:00:00,51,55.1,-105.3,10.4,4.7
83,paamiut,92,gl,2018-04-02 22:58:17,84,61.99,-49.67,33.97,6.53
84,iqaluit,90,ca,2018-04-02 22:00:00,92,63.75,-68.52,19.4,24.16
85,ilulissat,0,gl,2018-04-02 21:50:00,85,69.22,-51.1,12.2,10.29
86,misasi,75,tz,2018-04-02 22:00:00,88,-3.01,33.09,69.8,11.41
87,bethel,1,us,2018-04-02 21:53:00,69,60.79,-161.76,33.8,23.04
